"city","country_iso","test_time","asn","packet_loss_rate","download_throughput_mbps","download_latency_ms","download_jitter","download_bytes","upload_throughput_mbps","upload_latency_ms","upload_jitter","upload_bytes"
"Rio de Janeiro","BR","2025-05-07 20:39:31+02",16735,0.00000,102.01668,9,1.78000,169000000,55.53369,12,6.58000,146800000
"Curitiba","BR","2025-05-05 14:04:02+02",16735,0.00000,313.15971,27,23.48000,469000000,248.96500,22,21.12000,296800000
"Curitiba","BR","2025-05-05 14:10:25+02",16735,0.00000,105.42410,112,69.19000,469000000,44.48067,126,69.66000,146800000
"Curitiba","BR","2025-05-05 14:11:20+02",16735,0.00000,71.16007,93,55.72000,169000000,63.59339,108,68.73000,146800000
"Curitiba","BR","2025-05-05 14:12:44+02",16735,0.00000,187.32209,31,10.65000,469000000,143.32018,52,46.02000,296800000
"São Paulo","BR","2025-05-07 06:54:24+02",9009,0.04040,32.12348,3625,4589.75000,69000000,40.51120,35,18.03000,46800000
"Curitiba","BR","2025-05-05 14:57:05+02",16735,0.23100,91.10710,36,29.06000,169000000,61.31827,133,60.49000,146800000
"Curitiba","BR","2025-05-05 14:58:10+02",16735,0.00000,110.20590,32,29.52000,169000000,57.61623,251,125.89000,146800000
"Curitiba","BR","2025-05-05 15:17:27+02",16735,0.00000,110.22486,43,24.98000,169000000,76.69627,107,91.24000,146800000
"Belo Horizonte","BR","2025-05-05 15:03:44+02",16735,0.00000,13.44300,260,185.53000,69000000,4.61564,124,40.74000,46800000
"São Paulo","BR","2025-05-07 17:42:37+02",10429,0.33800,83.13221,210,327.63000,69000000,44.72422,32,51.90000,46800000
"São Paulo","BR","2025-05-07 17:41:44+02",10429,0.00000,85.52174,145,128.95000,69000000,51.34970,40,67.99000,46800000
"São Paulo","BR","2025-05-07 17:40:13+02",10429,0.58600,63.52172,91,122.84000,69000000,50.49866,55,88.74000,46800000
"São Paulo","BR","2025-05-07 18:03:43+02",10429,0.12700,116.31628,31,17.61000,169000000,116.57433,95,44.51000,146800000
"Brasília","BR","2025-05-07 18:21:21+02",16735,0.33500,91.68429,105,68.92000,169000000,72.34618,208,311.35000,146800000
"Brasília","BR","2025-05-07 18:39:58+02",16735,0.15200,75.93282,72,38.72000,169000000,72.72380,210,182.07000,146800000
