"city","country_iso","test_time","asn","packet_loss_rate","download_throughput_mbps","download_latency_ms","download_jitter","download_bytes","upload_throughput_mbps","upload_latency_ms","upload_jitter","upload_bytes"
"Curitiba","BR","2025-05-05 17:25:58+02",16735,0.00000,533.70482,17,6.29000,10000000,498.01784,48,24.82000,50000000
"Curitiba","BR","2025-05-05 17:31:59+02",16735,0.00000,101.29452,83,20.50000,10000000,71.40320,602,237.79000,1000000
"Curitiba","BR","2025-05-05 15:17:27+02",16735,0.00000,181.57603,89,24.98000,10000000,129.56875,386,91.24000,25000000
"Porto Alegre","BR","2025-05-06 14:04:49+02",16735,0.02200,384.62671,278,97.63000,10000000,314.03797,46,5.41000,50000000
"Porto Alegre","BR","2025-05-06 14:11:47+02",16735,0.30900,498.75903,21,27.67000,25000000,312.74311,56,35.41000,50000000
"São Paulo","BR","2025-05-05 03:01:19+02",10429,0.00000,936.62202,46,16.88000,1713325339,948.96128,173,34.35000,2798579147
"São Paulo","BR","2025-05-06 14:40:54+02",16735,0.00000,368.67467,29,26.04000,10000000,38.77502,18,1.02000,10000000
"Curitiba","BR","2025-05-05 14:04:02+02",16735,0.00000,485.74647,15,23.48000,10000000,528.25230,43,21.12000,10000000
"Curitiba","BR","2025-05-05 14:10:25+02",16735,0.00000,218.67748,207,69.19000,25000000,98.83464,227,69.66000,25000000
"Curitiba","BR","2025-05-05 14:11:20+02",16735,0.00000,238.67047,181,55.72000,10000000,186.18007,255,68.73000,25000000
"Curitiba","BR","2025-05-05 14:12:44+02",16735,0.00000,361.63205,55,10.65000,100000000,273.46939,120,46.02000,50000000
"Curitiba","BR","2025-05-05 14:57:05+02",16735,0.23100,145.75042,73,29.06000,10000000,96.61603,240,60.49000,25000000
"São Paulo","BR","2025-05-07 06:54:24+02",9009,0.04040,115.47503,5907,4589.75000,1000000,129.05297,31,18.03000,1000000
"Curitiba","BR","2025-05-05 14:58:10+02",16735,0.00000,168.00171,65,29.52000,10000000,96.54179,499,125.89000,25000000
"Rio de Janeiro","BR","2025-05-06 13:56:22+02",9009,0.01300,35.03653,105,17.54000,10000000,26.25735,56,2.72000,1000000
"São Paulo","BR","2025-05-05 15:07:40+02",9009,0.00000,256.03355,188,17.22000,100000000,93.37979,210,32.28000,25000000
"Rio de Janeiro","BR","2025-05-06 11:24:09+02",52468,0.00000,92.97248,18,2.37000,25000000,93.09866,7,1.76000,10000000
"Rio de Janeiro","BR","2025-05-06 11:25:13+02",52468,0.02000,92.78866,19,2.72000,10000000,93.34943,7,1.30000,25000000
"Rio de Janeiro","BR","2025-05-06 11:26:28+02",52468,0.00000,93.14134,19,4.02000,25000000,92.95872,8,1.87000,10000000
"São Paulo","BR","2025-05-06 19:54:16+02",15830,0.00000,160.69061,1003,322.54000,1000000,28.21944,1113,249.04000,10000000
"Rio de Janeiro","BR","2025-05-06 11:27:53+02",52468,0.00000,92.81021,20,4.76000,10000000,92.90502,12,2.41000,10000000
"São Paulo","BR","2025-05-07 21:17:19+02",10429,0.00000,161.18824,40,9.39000,25000000,134.56067,193,53.50000,10000000
"São Paulo","BR","2025-05-07 15:48:39+02",10429,0.28500,299.85367,48,14.52000,25000000,333.27806,111,51.69000,25000000
"Campinas","BR","2025-05-07 13:11:58+02",16735,0.02500,140.87409,345,155.26000,10000000,184.36984,479,129.30000,25000000
"São Paulo","BR","2025-05-07 18:03:43+02",10429,0.12700,153.58490,62,17.61000,10000000,195.46825,145,44.51000,25000000
"Brasília","BR","2025-05-07 18:21:21+02",16735,0.33500,172.82862,252,68.92000,10000000,120.99323,716,311.35000,10000000
"Brasília","BR","2025-05-07 18:39:58+02",16735,0.15200,160.13287,143,38.72000,10000000,170.55579,365,182.07000,25000000
"Cravinhos","BR","2025-05-07 18:53:15+02",16735,0.00000,427.82036,34,2.31000,10000000,539.88719,51,10.43000,25000000
"São Paulo","BR","2025-05-06 17:11:36+02",16735,0.00000,369.69667,22,39.71000,10000000,38.84809,18,1.18000,10000000
