"city","country_iso","test_time","asn","packet_loss_rate","download_throughput_mbps","download_latency_ms","download_jitter","download_bytes","upload_throughput_mbps","upload_latency_ms","upload_jitter","upload_bytes"
"Campinas","BR","2025-05-07 13:11:58+02",16735,0.025,171.86835,107,155.26,169000000,178.34902,105,129.3,146800000
"São Paulo","BR","2025-05-07 18:03:43+02",10429,0.127,185.30904,31,17.61,169000000,188.62783,95,44.51,146800000
"Brasília","BR","2025-05-07 18:21:21+02",16735,0.335,106.99648,105,68.92,169000000,119.27803,208,311.35,146800000
"Brasília","BR","2025-05-07 18:39:58+02",16735,0.152,132.28326,72,38.72,169000000,139.815,210,182.07,146800000
"Cravinhos","BR","2025-05-07 18:53:15+02",16735,0.0,435.00879,30,2.31,469000000,435.44558,40,10.43,296800000
"São Paulo","BR","2025-05-05 15:05:46+02",14593,0.016,7.69614,43,16.62,169000000,7.85988,27,8.43,46800000
"Curitiba","BR","2025-05-05 14:04:02+02",16735,0.0,418.51261,27,23.48,469000000,448.46558,22,21.12,296800000
"Curitiba","BR","2025-05-05 14:10:25+02",16735,0.0,82.20361,112,69.19,469000000,81.28539,126,69.66,146800000
"Curitiba","BR","2025-05-05 14:11:20+02",16735,0.0,126.4959,93,55.72,169000000,132.08521,108,68.73,146800000
"Curitiba","BR","2025-05-05 14:12:44+02",16735,0.0,243.06252,31,10.65,469000000,240.11381,52,46.02,296800000
"Rio de Janeiro","BR","2025-05-07 20:39:31+02",16735,0.0,77.41976,9,1.78,169000000,79.11736,12,6.58,146800000
"Curitiba","BR","2025-05-05 14:57:05+02",16735,0.231,97.37123,36,29.06,169000000,96.39143,133,60.49,146800000
"Curitiba","BR","2025-05-05 14:58:10+02",16735,0.0,88.72514,32,29.52,169000000,87.94752,251,125.89,146800000
"São Paulo","BR","2025-05-05 13:14:18+02",16735,0.15,525.91729,15,2.16,969000000,532.71233,18,4.84,296800000
"São Paulo","BR","2025-05-05 13:42:24+02",10429,0.0,46.54478,17,4.49,169000000,54.06221,21,20.82,46800000
"Curitiba","BR","2025-05-05 13:59:03+02",16735,0.0,447.99854,8,2.41,469000000,476.54234,18,12.64,296800000
"Curitiba","BR","2025-05-05 15:02:45+02",16735,0.0,92.41117,33,20.83,169000000,91.05594,126,67.23,146800000
"Belo Horizonte","BR","2025-05-05 15:03:44+02",16735,0.0,5.71254,260,185.53,69000000,7.97323,124,40.74,46800000
"Curitiba","BR","2025-05-05 15:17:27+02",16735,0.0,118.58696,43,24.98,169000000,117.88884,107,91.24,146800000
"São Paulo","BR","2025-05-07 20:17:21+02",10429,0.0,61.13501,79,140.3,69000000,33.5018,30,46.74,46800000
"São Paulo","BR","2025-05-05 03:01:19+02",10429,0.0,587.92603,27,16.88,2821519519,660.28961,82,34.35,4081511883
"São Paulo","BR","2025-05-06 16:23:40+02",16735,0.0,34.89154,49,62.48,469000000,37.82284,18,3.46,46800000
"São Paulo","BR","2025-05-07 17:42:37+02",10429,0.338,51.22675,210,327.63,69000000,36.72646,32,51.9,46800000
"Fortaleza","BR","2025-05-07 18:46:33+02",14593,0.298,6.49143,86,11.51,69000000,6.29645,156,119.19,46800000
"São Paulo","BR","2025-05-07 17:41:44+02",10429,0.0,57.60939,145,128.95,69000000,30.82544,40,67.99,46800000
"São Paulo","BR","2025-05-07 17:40:13+02",10429,0.586,57.65064,91,122.84,69000000,41.32132,55,88.74,46800000
"Rio de Janeiro","BR","2025-05-06 13:56:22+02",9009,0.013,11.04101,66,17.54,69000000,8.75589,51,2.72,46800000
"São Paulo","BR","2025-05-05 15:07:40+02",9009,0.0,84.1237,149,17.22,469000000,85.37093,143,32.28,146800000
"Ribeirão Preto","BR","2025-05-07 12:51:03+02",16735,0.169,28.98036,17,1.06,69000000,28.71097,20,4.92,46800000
"São Paulo","BR","2025-05-07 17:33:33+02",10429,0.225,21.51925,270,219.59,69000000,24.4943,101,161.85,46800000
"São Paulo","BR","2025-05-07 06:54:24+02",9009,0.0404,60.5715,3625,4589.75,69000000,28.56981,35,18.03,46800000
"Porto Alegre","BR","2025-05-06 14:04:49+02",16735,0.022,295.18347,71,97.63,469000000,293.15423,36,5.41,296800000
"Porto Alegre","BR","2025-05-06 14:11:47+02",16735,0.309,280.28533,31,27.67,469000000,285.28848,47,35.41,296800000
"São Paulo","BR","2025-05-06 14:40:54+02",16735,0.0,34.63004,29,26.04,469000000,37.82301,17,1.02,46800000
