"city","country_iso","test_time","asn","packet_loss_rate","download_throughput_mbps","download_latency_ms","download_jitter","download_bytes","upload_throughput_mbps","upload_latency_ms","upload_jitter","upload_bytes"
"Curitiba","BR","2025-05-05 14:10:25+02",16735,0.0,89.59798,80,69.19,100000000,23.03725,127,69.66,100000
"São Paulo","BR","2025-05-07 20:17:21+02",10429,0.0,48.33715,8,140.3,100000,32.03187,8,46.74,100000
"Campinas","BR","2025-05-07 13:11:58+02",16735,0.025,69.8899,31,155.26,1000000,116.69086,56,129.3,1000000
"São Paulo","BR","2025-05-06 17:11:36+02",16735,0.0,233.30489,17,39.71,1000000,21.50883,16,1.18,1000000
"Curitiba","BR","2025-05-05 14:58:10+02",16735,0.0,125.96988,21,29.52,25000000,62.47086,193,125.89,1000000
"Curitiba","BR","2025-05-05 14:57:05+02",16735,0.231,84.32438,31,29.06,1000000,60.13463,121,60.49,1000000
"São Paulo","BR","2025-05-07 19:06:31+02",10429,0.254,395.07366,4,5.37,10000000,215.23799,5,2.21,50000000
"Curitiba","BR","2025-05-05 14:12:44+02",16735,0.0,180.64055,24,10.65,1000000,145.12635,36,46.02,1000000
"São Paulo","BR","2025-05-07 19:24:30+02",10429,0.0,346.60652,4,2.37,100000000,123.31288,5,2.52,1000000
"Curitiba","BR","2025-05-05 14:11:20+02",16735,0.0,18.65362,76,55.72,1000000,33.92405,63,68.73,1000000
"Curitiba","BR","2025-05-05 14:04:02+02",16735,0.0,394.20379,8,23.48,1000000,177.09251,13,21.12,1000000
"São Paulo","BR","2025-05-07 17:42:37+02",10429,0.338,71.00842,12,327.63,100000,24.34003,8,51.9,10000000
"Ribeirão Preto","BR","2025-05-07 12:51:03+02",16735,0.169,19.4286,17,1.06,100000,26.57412,18,4.92,10000000
"Curitiba","BR","2025-05-05 13:59:03+02",16735,0.0,370.48266,8,2.41,1000000,296.67897,20,12.64,1000000
"São Paulo","BR","2025-05-05 13:42:24+02",10429,0.0,58.89025,17,4.49,10000000,38.17664,11,20.82,1000000
"São Paulo","BR","2025-05-05 13:14:18+02",16735,0.15,317.55548,15,2.16,1000000,209.92167,17,4.84,1000000
"Porto Alegre","BR","2025-05-06 14:04:49+02",16735,0.022,217.45718,17,97.63,1000000,141.30053,39,5.41,1000000
