clientCountry,serverPoP
SS,MBA
BI,NBO
MV,MLE
BA,ZAG
BW,GBE
HR,ZAG
GF,MIA
SE,ARN
JP,NRT
MD,KIV
DE,TXL
IN,MAA
AI,MIA
MG,TNR
AE,MRS
MW,NBO
TR,FRA
CZ,PRG
NO,OSL
VE,MIA
CM,JNB
BD,DAC
ES,MAD
CH,ZRH
NL,AMS
DZ,MAD
RE,RUN
CY,LCA
EC,LIM
HR,VIE
AZ,GYD
GB,LHR
AG,DME
SI,BEG
UZ,AMS
GH,ACC
YE,MCT
HU,BUD
WS,AKL
BO,MIA
TT,POS
GH,LIS
PR,TLH
AU,SYD
PT,LIS
AL,SOF
GY,GEO
ME,BEG
DK,CPH
SX,MIA
YT,NBO
SB,SYD
NZ,AKL
MY,KUL
HT,MIA
LU,LUX
HN,TGU
OM,MCT
PL,WAW
MC,FRA
FI,HEL
US,LAS
RS,BEG
JO,AMM
IL,FRA
TV,AKL
FM,GUM
IE,LHR
BN,FRA
GP,MIA
NI,MIA
LK,CMB
ZW,HRE
PS,ZDM
NP,SIN
CO,MIA
KZ,ALA
AT,VIE
AO,LHR
ZW,JNB
CV,LIS
RW,KGL
BR,GRU
MF,MIA
QA,DOH
PH,HKG
PY,GRU
ZM,LUN
KW,LHR
SK,BTS
IQ,LHR
PE,MIA
SS,NBO
KE,MBA
HK,HKG
XK,SOF
PK,SIN
KH,SIN
UA,WAW
LT,VNO
AW,EWR
BB,BGI
FR,LYS
BG,IST
BJ,LIS
VE,BOG
SZ,JNB
YT,JNB
CA,YVR
GB,MAN
SY,LHR
PR,IAD
ZM,JNB
CN,NRT
BT,PBH
SL,LHR
CK,AKL
IS,KEF
GR,SKG
ZA,JNB
GU,GUM
RO,OTP
IT,MXP
SG,SIN
UY,EZE
MZ,MPM
MP,GUM
PH,SIN
T1,CDG
EE,TLL
AR,GRU
LI,FRA
TD,MAD
MA,MAD
AS,PDX
VU,SUV
US,SEA
AF,LHR
CA,YUL
BA,AMS
US,IAD
LV,RIX
RU,DME
PA,MIA
AR,MIA
KG,AMS
AM,EVN
GR,ATH
MT,PMO
TL,CGK
TH,SIN
HN,MIA
GT,SJO
HK,SIN
BE,BRU
FR,CDG
MQ,MIA
KE,NBO
ID,SIN
PH,NRT
KN,MIA
MM,SIN
VN,SIN
EC,MIA
KR,ICN
FJ,SUV
CR,SJO
KI,AKL
EC,GYE
BH,LHR
NG,LIS
GE,TBS
DO,STI
MV,SIN
GE,ATH
MU,LHR
IQ,YYZ
VC,MIA
MK,SOF
BI,JNB
KY,MIA
SA,MCT
LB,FRA
NE,JNB
EG,FRA
PE,GRU
UY,GRU
CL,SCL
LU,CDG
PT,LHR
CA,YYZ
CD,LIS
KM,LHR
TN,LHR
GG,LHR
NG,LHR
BS,MIA
GM,DKR
TW,NRT
MN,ULN
MW,JNB
BE,AMS
SD,NBO
PH,MNL
MX,QRO
SV,MIA
VI,MIA
AD,AMS
LR,ASK
GE,BEG
ET,LHR
JM,KIN
